Code,Laterality,Contrast,XR#Views,description,modality,bodyRegion
RM00824,N/A,N/A,1,IR PERITONEAL FOREIGN BODY REMOVAL WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00825,N/A,N/A,1,IR PERITONEAL PORT PLACEMENT WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00826,N/A,N/A,1,IR PERITONEAL PORT REMOVAL WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00827,N/A,N/A,1,IR STAB PHLEBECTOMY GREATER THAN 20 INCISIONS,IR,UNCLASSIFIED
RM00828,N/A,N/A,1,IR PERIPHERALLY INSERTED CENTRAL CATHETER PLACEMENT WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
RM00829,N/A,N/A,1,IR PERIPHERALLY INSERTED CENTRAL CATHETER EXCHANGE WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
RM00830,N/A,N/A,1,IR PELVIS DRAINAGE WITH IMAGING GUIDANCE,IR,PELVIS
RM00831,N/A,N/A,1,IR PORT REMOVAL WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
RM00832,N/A,N/A,1,IR PORT REPAIR WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
RM00833,N/A,N/A,1,IR PORT CATHETER EXCHANGE WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
RM00834,N/A,N/A,1,IR TUNNELED PLEURAL CATHETER PLACEMENT WITH IMAGING GUIDANCE,IR,CHEST
RM00835,N/A,N/A,1,IR PSEUDOANEURSYM THROMBIN INJECTION WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
RM00836,N/A,N/A,1,IR SWAN-GANZ CATHETER PLACEMENT WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
RM00837,N/A,N/A,1,IR SUPERIORVENA CAVA FILTER PLACEMENT WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
RM00838,N/A,N/A,1,IR SUPERIOR VENA CAVA FILTER REMOVAL WITH IMAGING GUIDANCE,IR,CHEST
RM00839,N/A,N/A,1,IR SUPERIOR VENA CAVA FILTER REPOSITION WITH IMAGING GUIDANCE,IR,CHEST
RM00840,N/A,N/A,1,IR PERCUTANEOUS SYMPATHECTOMY NERVE BLOCK WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
RM00841,N/A,N/A,1,IR LOWER LEG PERCUTANEOUS TRANSLUMINAL ANGIOPLASTY WITH IMAGING GUIDANCE 1-2 ADDITIONAL VESSELS,IR,LOWER EXTREMITY
